Name,Cluster,Dist,f_Dist,r_Dist,log(Age),r_log(Age),Vmag,(B-V)0,log(Lx),log(Lx/Lb),Ref,Simbad,_RA,_DE,Lx,age,logLx_cgs
15,Cl* Melotte 20 AP 28   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.09,0.95,22.8,-3.09,"41,42",Simbad,51.474790000000006,48.51917,6.309573444801943e+29,79432823.47242822,29.8
16,Cl* Melotte 20 AP 78   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.06,0.93,22.72,-3.2,"41,42",Simbad,52.36121,49.34317,5.2480746024977126e+29,79432823.47242822,29.72
17,Cl* Melotte 20 AP 108  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.92,0.93,22.8,-3.21,"41,42",Simbad,50.90262,48.9815,6.309573444801943e+29,79432823.47242822,29.8
18,Cl Melotte 20 750      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.0,0.91,22.26,-3.21,"41,42",Simbad,51.90747,48.99132,1.81970085860999e+29,79432823.47242822,29.26
19,Cl* Melotte 20 AP 56   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.0,0.9,22.72,-3.21,"41,42",Simbad,51.84833,48.37222,5.2480746024977126e+29,79432823.47242822,29.72
20,Cl* Melotte 20 AP 197  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.31,0.9,22.52,-3.7,"41,42",Simbad,52.619580000000006,47.64111,3.311311214825908e+29,79432823.47242822,29.52
21,Cl* Melotte 20 AP 70   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.83,0.88,22.68,-3.33,"41,42",Simbad,52.07783,48.66339,4.78630092322638e+29,79432823.47242822,29.68
22,Cl* Melotte 20 AP 199  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.1,0.88,22.99,-3.3,"41,42",Simbad,53.18516999999999,47.69311,9.772372209558073e+29,79432823.47242822,29.99
23,Cl* Melotte 20 AP 43   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.84,0.87,22.99,-3.0,"41,42",Simbad,51.61667,49.03667,9.772372209558073e+29,79432823.47242822,29.99
24,Cl* Melotte 20 AP 72   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.78,0.87,21.7,-4.3,"41,42",Simbad,52.093920000000004,49.24147,5.0118723362727145e+28,79432823.47242822,28.7
25,Cl* Melotte 20 AP 212  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.24,0.87,22.45,-3.47,"41,42",Simbad,53.622080000000004,49.36306,2.8183829312644494e+29,79432823.47242822,29.45
26,Cl* Melotte 20 AP 37   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.61,0.86,22.96,-3.11,"41,42",Simbad,51.568329999999996,48.84122,9.120108393559115e+29,79432823.47242822,29.96
27,Cl* Melotte 20 AP 98   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.8,0.86,22.11,-3.9,"41,42",Simbad,50.277120000000004,48.436859999999996,1.2882495516931324e+29,79432823.47242822,29.11
28,Cl* Melotte 20 AP 117  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.05,0.85,22.89,-3.0,"41,42",Simbad,52.202,49.19839,7.762471166286927e+29,79432823.47242822,29.89
29,Cl* Melotte 20 AP 189  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",13.05,0.84,23.02,-2.92,"41,42",Simbad,52.937,49.55103,1.0471285480508986e+30,79432823.47242822,30.02
30,Cl* Melotte 20 AP 93   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.99,0.83,23.18,-3.13,"41,42",Simbad,49.76,48.1825,1.513561248436207e+30,79432823.47242822,30.18
31,Cl* Melotte 20 AP 63   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.29,0.82,22.81,-3.37,"41,42",Simbad,51.96262,49.20278,6.456542290346536e+29,79432823.47242822,29.81
32,Cl* Melotte 20 AP 110  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.27,0.82,22.48,-3.76,"41,42",Simbad,51.22708,49.43111,3.0199517204020194e+29,79432823.47242822,29.48
33,Cl* Melotte 20 AP 193  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.28,0.79,23.3,-2.84,"41,42",Simbad,53.042080000000006,49.141940000000005,1.9952623149688827e+30,79432823.47242822,30.3
34,Cl* Melotte 20 AP 25   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.25,0.78,23.12,-3.07,"41,42",Simbad,51.3176,48.3733,1.31825673855641e+30,79432823.47242822,30.12
35,Cl* Melotte 20 AP 97   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.08,0.77,22.52,-3.74,"41,42",Simbad,50.17292,48.41,3.311311214825908e+29,79432823.47242822,29.52
36,Cl* Melotte 20 AP 158  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.93,0.75,22.4,-3.96,"41,42",Simbad,51.64,50.2325,2.511886431509572e+29,79432823.47242822,29.4
37,Cl* Melotte 20 AP 14   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.93,0.74,22.62,-3.68,"41,42",Simbad,51.083,48.78883,4.168693834703364e+29,79432823.47242822,29.62
38,Cl* Melotte 20 AP 149  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.71,0.72,23.23,-3.14,"41,42",Simbad,51.200829999999996,48.88944,1.698243652461746e+30,79432823.47242822,30.23
39,Cl* Melotte 20 AP 41   ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.03,0.71,22.45,-3.82,"41,42",Simbad,51.605540000000005,48.33525,2.8183829312644494e+29,79432823.47242822,29.45
40,Cl* Melotte 20 AP 118  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",12.06,0.71,23.14,-3.11,"41,42",Simbad,53.127869999999994,49.17631,1.3803842646028868e+30,79432823.47242822,30.14
41,Cl* Melotte 20 AP 102  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.96,0.7,22.68,-3.65,"41,42",Simbad,50.33292,48.7575,4.78630092322638e+29,79432823.47242822,29.68
42,Cl Melotte 20 520      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.69,0.69,23.29,-3.1,"41,42",Simbad,50.591409999999996,49.141,1.9498445997580415e+30,79432823.47242822,30.29
43,Cl Melotte 20 622      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.63,0.69,23.44,-2.98,"41,42",Simbad,51.207190000000004,48.87177,2.7542287033381747e+30,79432823.47242822,30.44
44,Cl* Melotte 20 AP 255  ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.83,0.68,23.61,-2.77,"41,42",Simbad,55.68708,49.65056,4.0738027780411217e+30,79432823.47242822,30.61
45,Cl Melotte 20 696      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.61,0.67,22.81,-3.6,"41,42",Simbad,51.58067,49.22572,6.456542290346536e+29,79432823.47242822,29.81
46,Cl Melotte 20 601      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.43,0.63,22.77,-3.71,"41,42",Simbad,51.07108,49.650079999999996,5.888436553555884e+29,79432823.47242822,29.77
47,Cl Melotte 20 350      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.13,0.62,22.81,-3.79,"41,42",Simbad,49.40387,48.835679999999996,6.456542290346536e+29,79432823.47242822,29.81
48,Cl Melotte 20 828      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.62,0.62,22.2,-4.18,"41,42",Simbad,52.248459999999994,48.235640000000004,1.584893192461111e+29,79432823.47242822,29.2
49,Cl Melotte 20 699      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",11.27,0.61,23.36,-3.19,"41,42",Simbad,51.59258,49.42709,2.2908676527677698e+30,79432823.47242822,30.36
50,Cl Melotte 20 350      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.95,0.59,23.26,-3.41,"41,42",Simbad,49.40387,48.835679999999996,1.81970085860999e+30,79432823.47242822,30.26
51,Cl Melotte 20 828      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.93,0.57,23.21,-3.46,"41,42",Simbad,52.248459999999994,48.235640000000004,1.6218100973589332e+30,79432823.47242822,30.21
52,Cl Melotte 20 935      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.05,0.53,23.62,-3.39,"41,42",Simbad,52.87084,48.9912,4.1686938347033635e+30,79432823.47242822,30.62
53,Cl Melotte 20 848      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.0,0.51,22.53,-4.5,"41,42",Simbad,52.35933,48.20323,3.388441561392034e+29,79432823.47242822,29.53
54,Cl Melotte 20 684      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.59,0.48,23.12,-3.68,"41,42",Simbad,51.51757,48.801970000000004,1.31825673855641e+30,79432823.47242822,30.12
55,Cl Melotte 20 968      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.41,0.48,23.21,-3.66,"41,42",Simbad,52.9759,48.52734,1.6218100973589332e+30,79432823.47242822,30.21
56,Cl Melotte 20 727      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.32,0.47,23.09,-3.81,"41,42",Simbad,51.70881,48.792229999999996,1.2302687708123812e+30,79432823.47242822,30.09
57,Cl Melotte 20 841      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.29,0.45,23.02,-3.89,"41,42",Simbad,52.353970000000004,48.96253,1.0471285480508986e+30,79432823.47242822,30.02
58,Cl Melotte 20 588      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",10.01,0.44,22.8,-4.28,"41,42",Simbad,50.97956,50.306670000000004,6.309573444801943e+29,79432823.47242822,29.8
59,Cl Melotte 20 876      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",9.55,0.43,23.29,-3.92,"41,42",Simbad,52.4454,47.582809999999995,1.9498445997580415e+30,79432823.47242822,30.29
60,Cl Melotte 20 733      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",9.94,0.41,22.3,-4.74,"41,42",Simbad,51.76355,48.78703,1.995262314968883e+29,79432823.47242822,29.3
61,Cl Melotte 20 715      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",9.75,0.39,22.51,-4.61,"41,42",Simbad,51.6698,48.7769,3.235936569296294e+29,79432823.47242822,29.51
62,Cl Melotte 20 421      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",9.23,0.36,23.02,-4.3,"41,42",Simbad,49.92398,48.91364,1.0471285480508986e+30,79432823.47242822,30.02
63,Cl Melotte 20 799      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",9.66,0.36,22.0,-5.13,"41,42",Simbad,52.13126,48.940909999999995,1e+29,79432823.47242822,29.0
64,Cl Melotte 20 944      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",9.62,0.34,22.59,-4.57,"41,42",Simbad,52.935680000000005,49.536809999999996,3.890451449942805e+29,79432823.47242822,29.59
65,Cl Melotte 20 609      ,alpha Persei,185.0, ,"a,b    ",7.9,"a,b,c  ",9.23,0.32,23.07,-4.34,"41,42",Simbad,51.1043,50.3263,1.1748975549395303e+30,79432823.47242822,30.07
66,Cl* Blanco 1 ZS71      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",14.9,1.34,22.71,-3.16,d    ,Simbad,0.7622899999999999,-29.795579999999998,5.1286138399136586e+29,100000000.0,29.71
67,Cl* Blanco 1 ZS94      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",14.98,1.3,21.93,-3.69,d    ,Simbad,0.85075,-29.939690000000002,8.511380382023758e+28,100000000.0,28.93
68,Cl* Blanco 1 ZS93      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",14.18,1.12,22.36,-3.45,d    ,Simbad,0.8527899999999999,-29.920720000000003,2.29086765276777e+29,100000000.0,29.36
69,Cl* Blanco 1 ZS42      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",14.17,1.06,22.48,-3.3,d    ,Simbad,0.51754,-30.17622,3.0199517204020194e+29,100000000.0,29.48
70,Cl* Blanco 1 ZS38      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",13.86,1.03,22.82,-3.07,d    ,Simbad,0.47683000000000003,-30.12828,6.606934480075965e+29,100000000.0,29.82
71,Cl* Blanco 1 ZS70      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",13.75,1.0,22.2,-3.71,d    ,Simbad,0.70092,-29.77635,1.584893192461111e+29,100000000.0,29.2
72,Cl* Blanco 1 ZS54      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.98,0.99,22.69,-3.52,d    ,Simbad,0.61746,-30.07875,4.897788193684476e+29,100000000.0,29.69
73,Cl* Blanco 1 ZS154     ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",13.42,0.96,22.56,-3.46,d    ,Simbad,1.38158,-30.34767,3.630780547701003e+29,100000000.0,29.56
74,Cl* Blanco 1 ZS44      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",13.45,0.93,22.64,-3.36,d    ,Simbad,0.56121,-29.817829999999997,4.365158322401666e+29,100000000.0,29.64
75,Cl* Blanco 1 ZS75      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.82,0.91,22.63,-3.61,d    ,Simbad,0.75117,-30.056,4.265795188015917e+29,100000000.0,29.63
76,Cl* Blanco 1 ZS61      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",13.7,0.9,22.91,-2.98,d    ,Simbad,0.64512,-30.09042,8.128305161640995e+29,100000000.0,29.91
77,Cl* Blanco 1 ZS76      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.39,0.86,23.43,-2.96,d    ,Simbad,0.73492,-30.079109999999996,2.691534803926914e+30,100000000.0,30.43
78,Cl* Blanco 1 ZS83      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.51,0.85,22.36,-3.97,d    ,Simbad,0.77954,-30.25475,2.29086765276777e+29,100000000.0,29.36
79,Cl* Blanco 1 ZS165     ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.5,0.85,22.41,-3.93,d    ,Simbad,1.39804,-29.95178,2.5703957827688646e+29,100000000.0,29.41
80,Cl* Blanco 1 ZS148     ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.35,0.84,22.48,-3.91,d    ,Simbad,1.30996,-29.906609999999997,3.0199517204020194e+29,100000000.0,29.48
81,Cl* Blanco 1 ZS45      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.91,0.84,22.35,-3.82,d    ,Simbad,0.57729,-29.852359999999997,2.238721138568347e+29,100000000.0,29.35
82,BLX 7                  ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.71,0.83,22.52,-3.73,d    ,Simbad,0.50333,-29.98817,3.311311214825908e+29,100000000.0,29.52
83,Cl* Blanco 1 ZS62      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.48,0.75,22.4,-3.92,d    ,Simbad,0.64775,-30.11719,2.511886431509572e+29,100000000.0,29.4
84,Cl* Blanco 1 ZS58      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.32,0.73,22.78,-3.59,d    ,Simbad,0.44358000000000003,-29.777420000000003,6.0255958607435934e+29,100000000.0,29.78
85,Cl* Blanco 1 ZS170     ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",12.07,0.69,22.17,-4.29,d    ,Simbad,1.478,-30.10717,1.4791083881682132e+29,100000000.0,29.17
86,Cl* Blanco 1 ZS182     ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",11.66,0.61,22.27,-4.34,d    ,Simbad,1.56809,-30.09918,1.8620871366628655e+29,100000000.0,29.27
87,Cl* Blanco 1 ZS138     ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",11.47,0.56,22.34,-4.34,d    ,Simbad,1.24517,-30.16157,2.187761623949552e+29,100000000.0,29.34
88,Cl* Blanco 1 ZS84      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",11.28,0.53,22.6,-4.15,d    ,Simbad,0.79505,-30.18025,3.9810717055349854e+29,100000000.0,29.6
89,Cl* Blanco 1 ZS91      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",11.25,0.52,22.44,-4.33,d    ,Simbad,0.83593,-29.822979999999998,2.7542287033381747e+29,100000000.0,29.44
90,Cl* Blanco 1 ZS107     ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",11.02,0.49,21.95,-4.88,d    ,Simbad,0.95904,-30.065459999999998,8.912509381337442e+28,100000000.0,28.95
91,Cl* Blanco 1 ZS90      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",10.62,0.45,22.65,-4.36,d    ,Simbad,0.8516100000000001,-29.813709999999997,4.466835921509617e+29,100000000.0,29.65
92,Cl* Blanco 1 ZS48      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",10.69,0.44,22.87,-4.11,d    ,Simbad,0.59016,-30.139359999999996,7.413102413009193e+29,100000000.0,29.87
93,Cl* Blanco 1 ZS96      ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",10.32,0.39,22.5,-4.62,d    ,Simbad,0.8411299999999999,-30.01962,3.162277660168379e+29,100000000.0,29.5
94,Cl* Blanco 1 ZS104     ,Blanco 1    ,244.0, ,"a,b    ",8.0,"a,d    ",10.05,0.36,22.75,-4.47,d    ,Simbad,0.8828799999999999,-29.718009999999996,5.6234132519034904e+29,100000000.0,29.75
95,Cl* Melotte 25 PELS 95 ,Hyades      ,45.0,1,e      ,8.8,"b,e    ",11.12,1.4,21.89,-3.94,43   ,Simbad,72.00458,17.05611,7.762471166286928e+28,630957344.4801943,28.89
96,BD+25 522              ,Hyades      ,45.0,1,e      ,8.8,"b,e    ",11.11,1.4,22.32,-3.52,43   ,Simbad,49.34525,26.31503,2.089296130854041e+29,630957344.4801943,29.32
97,Cl* Melotte 25 VA404   ,Hyades      ,39.2, ,e      ,8.8,"b,e    ",10.48,1.37,21.58,-4.35,43   ,Simbad,66.67843,12.686580000000001,3.801893963205597e+28,630957344.4801943,28.58
98,Cl Melotte 25 190      ,Hyades      ,49.8, ,e      ,8.8,"b,e    ",10.7,1.3,22.41,-3.58,43   ,Simbad,67.21171,16.289,2.5703957827688646e+29,630957344.4801943,29.41
99,Cl* Melotte 25 VA354   ,Hyades      ,45.0,1,e      ,8.8,"b,e    ",11.17,1.26,21.72,-3.96,43   ,Simbad,66.35417,17.91667,5.248074602497713e+28,630957344.4801943,28.72
100,Cl* Melotte 25 VA68    ,Hyades      ,42.5, ,e      ,8.8,"b,e    ",10.74,1.23,21.76,-4.02,43   ,Simbad,63.71638000000001,13.05495,5.75439937337159e+28,630957344.4801943,28.76
101,Cl* Melotte 25 VA677   ,Hyades      ,43.6, ,e      ,8.8,"b,e    ",11.03,1.22,22.5,-3.18,43   ,Simbad,68.10689,13.11323,3.162277660168379e+29,630957344.4801943,29.5
102,Cl* Melotte 25 VA135   ,Hyades      ,44.5, ,e      ,8.8,"b,e    ",10.0,1.16,22.39,-3.68,43   ,Simbad,64.59164,17.42164,2.4547089156850338e+29,630957344.4801943,29.39
103,Cl* Melotte 25 PELS 83 ,Hyades      ,45.0,1,e      ,8.8,"b,e    ",10.17,1.14,21.54,-4.46,43   ,Simbad,69.60399,17.54243,3.46736850452531e+28,630957344.4801943,28.54
104,Cl Melotte 25 185      ,Hyades      ,51.6, ,e      ,8.8,"b,e    ",9.47,1.08,21.58,-4.79,43   ,Simbad,70.10611,16.51366,3.801893963205597e+28,630957344.4801943,28.58
105,BD+12 623              ,Hyades      ,47.0, ,e      ,8.8,"b,e    ",10.06,1.06,21.52,-4.52,43   ,Simbad,69.96239,12.72847,3.311311214825908e+28,630957344.4801943,28.52
106,BD+18 639              ,Hyades      ,45.0,1,e      ,8.8,"b,e    ",10.14,1.04,21.53,-4.43,43   ,Simbad,66.99568000000001,18.50025,3.388441561392034e+28,630957344.4801943,28.53
107,BD+10 576              ,Hyades      ,49.0, ,e      ,8.8,"b,e    ",9.45,1.03,21.48,-4.83,43   ,Simbad,66.70108,10.87107,3.0199517204020196e+28,630957344.4801943,28.48
108,Cl Melotte 25 117      ,Hyades      ,48.2, ,e      ,8.8,"b,e    ",9.53,1.03,22.49,-3.77,43   ,Simbad,72.30411,24.80284,3.0902954325135794e+29,630957344.4801943,29.49
109,BD+16 646              ,Hyades      ,45.0,1,e      ,8.8,"b,e    ",9.86,0.99,21.96,-4.09,43   ,Simbad,70.81543,17.069110000000002,9.120108393559115e+28,630957344.4801943,28.96
110,Cl* Melotte 25 VA627   ,Hyades      ,44.7, ,e      ,8.8,"b,e    ",9.53,0.98,21.97,-4.2,43   ,Simbad,67.9046,17.70978,9.332543007969886e+28,630957344.4801943,28.97
111,BD+17 782              ,Hyades      ,49.1, ,e      ,8.8,"b,e    ",9.6,0.96,21.92,-4.3,43   ,Simbad,71.70606,17.74833,8.317637711026744e+28,630957344.4801943,28.92
112,Cl Melotte 25 176      ,Hyades      ,61.9, ,e      ,8.8,"b,e    ",9.01,0.92,22.07,-4.56,43   ,Simbad,66.44816,18.01727,1.1748975549395303e+29,630957344.4801943,29.07
113,Cl Melotte 25 43       ,Hyades      ,52.6, ,e      ,8.8,"b,e    ",9.4,0.9,21.49,-4.84,43   ,Simbad,65.84521,19.65867,3.090295432513579e+28,630957344.4801943,28.49
114,Cl Melotte 25 7        ,Hyades      ,43.4, ,e      ,8.8,"b,e    ",8.99,0.89,21.34,-4.98,43   ,Simbad,58.77709,16.998479999999997,2.187761623949552e+28,630957344.4801943,28.34
115,Cl Melotte 25 46       ,Hyades      ,45.1, ,e      ,8.8,"b,e    ",9.12,0.86,21.65,-4.64,43   ,Simbad,65.88471,14.67048,4.466835921509617e+28,630957344.4801943,28.65
116,Cl Melotte 25 116      ,Hyades      ,46.5, ,e      ,8.8,"b,e    ",8.99,0.83,21.6,-4.76,43   ,Simbad,72.26467,18.64124,3.981071705534985e+28,630957344.4801943,28.6
117,Cl Melotte 25 182      ,Hyades      ,53.3, ,e      ,8.8,"b,e    ",9.01,0.83,21.86,-4.61,43   ,Simbad,67.64532,15.733979999999999,7.2443596007498914e+28,630957344.4801943,28.86
118,Cl Melotte 25 153      ,Hyades      ,45.0,1,e      ,8.8,"b,e    ",8.92,0.83,21.76,-4.6,43   ,Simbad,44.44447,29.661459999999998,5.75439937337159e+28,630957344.4801943,28.76
119,Cl Melotte 25 96       ,Hyades      ,50.1, ,e      ,8.8,"b,e    ",8.5,0.83,22.03,-4.59,43   ,Simbad,68.49391,15.163620000000002,1.0715193052376093e+29,630957344.4801943,29.03
120,Cl Melotte 25 109      ,Hyades      ,71.1, ,e      ,8.8,"b,e    ",9.41,0.79,21.96,-4.58,43   ,Simbad,70.02434000000001,23.30454,9.120108393559115e+28,630957344.4801943,28.96
121,Cl Melotte 25 76       ,Hyades      ,56.4, ,e      ,8.8,"b,e    ",9.19,0.75,21.6,-4.82,43   ,Simbad,67.37819,26.67155,3.981071705534985e+28,630957344.4801943,28.6
122,Cl Melotte 25 69       ,Hyades      ,51.5, ,e      ,8.8,"b,e    ",8.64,0.74,21.88,-4.68,43   ,Simbad,67.15505999999999,19.740679999999998,7.585775750291821e+28,630957344.4801943,28.88
123,Cl Melotte 25 127      ,Hyades      ,61.9, ,e      ,8.8,"b,e    ",8.89,0.73,21.79,-4.82,43   ,Simbad,74.45626999999999,14.002189999999999,6.16595001861481e+28,630957344.4801943,28.79
