SpT   Teff  logT   logL  Mbol  BCv    Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G    b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks    Ks-W1   W1-W2  W1-W3  W1-W4   M_J    M_Ks  i-z  z-Y  R_Rsun Msun  SpT
K0V    5280  3.723 -0.33  5.54 -0.22   5.76  0.816  0.944 -0.221  0.98   0.56   5.53   ...    0.436  0.443  0.853  1.953  0.387  0.091   0.030  -0.063 -0.037 -0.015   4.29   3.81  ...  ...  0.817  0.87  K0V  
K0.5V  5240  3.719 -0.33  5.57 -0.23   5.80  0.825  0.955 -0.225  1.00   0.56   5.56   ...    0.456  0.448  0.862  1.977  0.393  0.092   0.030  -0.064 -0.038 -0.018   4.31   3.82  ...  ...  0.828  0.86  K0.5V
K1V    5170  3.713 -0.36  5.65 -0.26   5.89  0.842  0.976 -0.232  1.01   0.56   5.63   ...    0.491  0.457  0.879  2.021  0.402  0.094   0.030  -0.064 -0.038 -0.013   4.37   3.87  ...  ...  0.814  0.85  K1V  
K1.5V  5140  3.711 -0.39  5.70 -0.27   5.97  0.860  0.999 -0.241  1.05   0.58   5.69   ...    0.528  0.467  0.895  2.066  0.412  0.096   0.030  -0.063 -0.037 -0.016   4.41   3.90  ...  ...  0.809  0.82  K1.5V
K2V    5040  3.702 -0.47  5.88 -0.29   6.19  0.884  1.035 -0.254  1.10   0.62   5.89   ...    0.581  0.482  0.920  2.132  0.427  0.098   0.031  -0.068 -0.037 -0.009   4.57   4.04  ...  ...  0.763  0.78  K2V  
K2.5V  4990  3.698 -0.51  6.02 -0.32   6.34  0.938  1.101 -0.288  1.17   0.64   6.04   ...    0.691  0.513  0.974  2.274  0.459  0.104   0.032  -0.071 -0.032 -0.006   4.63   4.07  ...  ...  0.742  0.76  K2.5V
K3V    4830  3.684 -0.58  6.16 -0.41   6.57  0.986  1.150 -0.322  1.21   0.66   6.26   ...    0.776  0.537  1.013  2.380  0.483  0.109   0.033  -0.071 -0.031 -0.008   4.76   4.16  ...  ...  0.729  0.75  K3V  
K3.5V  4700  3.672 -0.64  6.34 -0.45   6.79  1.050  1.239 -0.371  1.27   0.68   6.42   ...    0.917  0.592  1.108  2.582  0.520  0.118   0.036  -0.074 -0.031 -0.005   4.85   4.21  ...  ...  0.720  0.73  K3.5V
K4V    4600  3.663 -0.67  6.42 -0.56   6.98  1.100  1.306 -0.412  1.32   0.70   6.55   ...    1.004  0.640  1.190  2.733  0.544  0.125   0.039  -0.073 -0.031  0.009   4.92   4.25  ...  ...  0.726  0.72  K4V  
K4.5V  4540  3.657 -0.68  6.44 -0.60   7.04  1.116  1.328 -0.425  1.38   0.72   6.62   ...    1.028  0.654  1.216  2.781  0.552  0.127   0.040  -0.073 -0.030  0.017   4.94   4.26  ...  ...  0.737  0.71  K4.5V
K5V    4410  3.644 -0.78  6.68 -0.68   7.36  1.150  1.373 -0.454  1.45   0.74   6.95   ...    1.081  0.685  1.272  2.883  0.568  0.132   0.042  -0.073 -0.029  0.019   5.18   4.48  ...  ...  0.698  0.68  K5V  
K5.5V  4330  3.636 -0.84  6.85 -0.75   7.60  1.200  1.414 -0.495  1.51   0.76   7.16   ...    1.144  0.728  1.357  3.034  0.591  0.139   0.045   ...    ...    ...     5.30   4.57  ...  ...  0.672  0.66  K5.5V
K6V    4230  3.626 -0.90  6.99 -0.81   7.80  1.240  1.439 -0.528  1.58   0.79   7.32   ...    1.184  0.759  1.420  3.143  0.601  0.148   0.049   ...    ...    ...     5.41   4.66  ...  ...  0.661  0.65  K6V  
K6.5V  4190  3.622 -0.96  7.09 -0.92   8.01  1.310  1.491 -0.581  1.64   0.83   7.49   ...    1.213  0.796  1.505  3.288  0.613  0.159   0.055   ...    ...    ...     5.56   4.78  ...  ...  0.656  0.64  K6.5V
K7V    4070  3.610 -0.98  7.18 -0.95   8.15  1.330  1.506 -0.595  1.71   0.87   7.58   ...    1.221  0.806  1.529  3.330  0.617  0.162   0.057   ...    ...    ...     5.60   4.82  ...  ...  0.654  0.63  K7V  
K8V    4000  3.602 -1.10  7.44 -1.03   8.47  1.380  1.562 -0.628  1.72   0.88   7.84   ...    1.216  0.843  1.632  3.487  0.623  0.176   0.081   ...    ...    ...     5.78   4.98  ...  ...  0.587  0.59  K8V  
K9V    3940  3.595 -1.18  7.59 -1.10   8.69  1.420  1.593 -0.69   1.78   0.90   8.00   ...    1.210  0.866  1.699  3.584  0.625  0.184   0.101   ...    ...    ...     5.92   5.11  ...  ...  0.552  0.56  K9V  
M0V    3870  3.588 -1.20  7.75 -1.16   8.91  1.408  1.623 -0.65   1.84   0.92   8.26   ...    1.204  0.889  1.766  3.680  0.626  0.193   0.122   ...    ...    ...     6.04   5.22  0.33 ...  0.559  0.55  M0V  
M0.5V  3800  3.580 -1.27  7.90 -1.38   9.20  1.441  ...   -0.74   1.97   0.96   8.46   ...    1.184  0.924  1.886  3.84   0.620  0.208   0.130   ...    ...    ...     6.19   5.36  0.37 ...  0.535  0.54  M0.5V
M1V    3700  3.568 -1.40  8.25 -1.44   9.69  1.475  ...   -0.82   2.09   1.01   8.87   ...    1.172  0.959  2.019  4.02   0.613  0.225   0.137   ...    ...    ...     6.51   5.67  0.41 ...  0.496  0.49  M1V  
M1.5V  3650  3.562 -1.47  8.40 -1.57   9.97  1.486  ...   -0.85   2.14   1.03   9.12   ...    1.170  0.978  2.089  4.12   0.607  0.228   0.105   ...    ...    ...     6.69   5.85  0.47 ...  0.460  0.47  M1.5V
M2V    3550  3.550 -1.57  8.65 -1.65  10.30  1.500  ...   -0.92   2.25   1.06   9.38   ...    1.170  1.001  2.173  4.24   0.600  0.234   0.110   ...    ...    ...     6.89   6.06  0.53 ...  0.434  0.44  M2V  
M2.5V  3500  3.544 -1.68  8.94 -1.76  10.70  1.522  ...   -1.02   2.39   1.10   9.68   ...    1.175  1.041  2.306  4.43   0.589  0.244   0.117   ...    ...    ...     7.01   6.27  0.57 ...  0.393  0.40  M2.5V
M3V    3410  3.533 -1.78  9.17 -1.97  11.14  1.544  ...   -1.09   2.49   1.12  10.05   ...    1.181  1.079  2.420  4.60   0.579  0.252   0.122   ...    ...    ...     7.40   6.54  0.61 ...  0.369  0.36  M3V  
M3.5V  3250  3.512 -2.07  9.92 -2.27  12.19  1.602  ...   -1.29   2.71   1.17  10.90   ...    1.200  1.178  2.680  5.00   0.558  0.269   0.132   ...    ...    ...     8.02   7.19  0.66 ...  0.291  0.26  M3.5V
M4V    3200  3.505 -2.20 10.21 -2.59  12.80  1.661  ...   -1.41   2.95   1.24  11.39   ...    1.222  1.241  2.831  5.25   0.557  0.282   0.139   ...    ...    ...     8.39   7.55  0.71 ...  0.258  0.22  M4V  
M4.5V  3100  3.491 -2.31 10.52 -3.05  13.57  1.72   ...   -1.55   3.13   1.27  12.02   ...    1.23   1.345  3.073  5.64   0.564  0.301   ...     ...    ...    ...     8.79   7.93  0.81 ...  0.243  0.18  M4.5V
M5V    3030  3.481 -2.52 11.02 -3.28  14.30  1.874  ...   -1.74   3.36   1.33  12.56   ...    1.24   1.446  3.277  5.94   0.580  0.311   ...     0.17   ...    ...     9.25   8.36  0.91 0.47 0.199  0.16  M5V  
M5.5V  3000  3.477 -2.79 11.71 -3.80  15.51  1.91   ...   -2.01   3.70   1.37  13.50   ...    1.3    1.656  3.664  6.50   0.588  0.329   ...     0.19   ...    ...     9.93   9.01  1.13 0.52 0.149  0.12  M5.5V
M6V    2850  3.455 -3.02 12.26 -4.36  16.62  2.00   ...   -2.14   3.95   1.45  14.48   ...    1.3    1.950  4.13   7.30   0.605  0.352   ...     0.21   ...    ...    10.28   9.32  1.45 0.60 0.127  0.10  M6V  
M6.5V  2710  3.433 -3.09 12.47 -4.60  17.07  2.06   ...   -2.64   4.41   1.48  14.32   ...    ...    2.003  4.31   7.60   0.609  0.364   ...     0.22   ...    ...    10.47   9.47  1.58 0.64 0.129  0.097 M6.5V
M7V    2650  3.423 -3.21 12.75 -5.06  17.81  2.06   ...   -2.98   4.75   1.52  14.83   ...    ...    2.180  4.45   8.05   0.613  0.386   ...     0.24   ...    ...    10.76   9.76  1.77 0.70 0.118  0.090 M7V  
M7.5V  2600  3.415 -3.29 12.97 -5.46  18.42  2.17   ...   -3.03   4.77   1.54  15.33   ...    ...    2.160  4.56   8.45   0.650  0.422   ...     0.25   ...    ...    10.68   9.97  1.85 0.74 0.112  0.089 M7.5V
M8V    2500  3.398 -3.36 13.14 -5.70  18.84  2.20   ...   -3.08   4.80   1.57  15.73   ...    ...    2.150  4.64   8.73   0.670  0.450   ...     0.26   ...    ...    11.23  10.11  1.93 0.77 0.111  0.082 M8V  
M8.5V  2440  3.387 -3.44 13.34 -5.80  19.14  ...    ...   -3.04   5.03   1.58  16.05   ...    ...    1.967  4.71   8.92   0.685  0.470   ...     0.265  ...    ...    11.45  10.22  1.96 0.80 0.107  0.081 M8.5V
M9V    2400  3.380 -3.57 13.67 -5.90  19.36  ...    ...   -3.00   4.78   1.59  16.29   ...    ...    1.890  4.75   9.00   0.749  0.480   ...     0.27   ...    ...    11.53  10.30  1.99 0.82 0.095  0.079 M9V  
M9.5V  2320  3.365 -3.55 13.62 -6.13  19.75  ...    ...   -3.10   ...    1.63  16.33   ...    ...    2.510  4.79   9.30   0.826  0.505   ...     0.27   ...    ...    11.78  10.45  2.00 0.84 0.104  0.078 M9.5V
